day,CPT(km),CPT_temp(K),LRT(km),LRT_temp(K)
2000-12-01,17.404,194.85,15.022,199.65
2000-12-02,17.318,197.45,16.669,198.25
2000-12-03,18.126,195.65,15.113,201.65
2000-12-04,18.542,195.45,16.682,198.45
2000-12-05,18.553,194.05,16.226,195.85
2000-12-06,14.426,205.45,,
2000-12-07,17.859,193.85,17.11,194.65
2000-12-08,17.417,191.65,17.417,191.65
2000-12-09,18.156,188.25,16.59,195.85
2000-12-10,18.024,192.25,18.024,192.25
2000-12-11,18.469,194.45,16.256,197.05
2000-12-12,18.206,194.45,15.173,199.05
2000-12-13,17.218,191.85,17.218,191.85
2000-12-14,18.452,187.25,15.392,198.25
2000-12-15,18.62,192.4500030517578,18.62,192.4500030517578
2000-12-16,18.64,194.84999694824216,16.6,196.24999847412107
2000-12-17,16.61,197.65,,
2000-12-18,18.731,195.85,15.392,197.05
2000-12-19,17.546,195.45,17.546,195.45
2000-12-20,16.929,195.25,16.929,195.25
2000-12-21,18.435,194.45,16.86,196.25
2000-12-22,18.395,194.65,17.798,195.45
2000-12-23,17.337,194.65,,
2000-12-24,17.307,193.45,14.661,200.65
2000-12-25,18.63,195.05000152587888,16.59,197.05000152587888
2000-12-26,17.808,193.05,17.567,193.45
2000-12-27,17.793,193.05,17.793,193.05
2000-12-28,18.054,194.65,16.252,198.15
2000-12-29,18.482,190.65,15.871,194.05
2000-12-30,17.691,192.05,15.594,194.45
2000-12-31,16.215,192.25,16.215,192.25
2001-01-01,17.474,194.05000152587888,,
2001-01-02,17.977,193.85,14.9,202.45
2001-01-03,19.145,194.25,17.564,196.65
2001-01-04,17.766,195.25,17.766,195.25
2001-01-05,17.662,195.45,17.662,195.45
2001-01-06,18.269,194.45,16.54,195.85
2001-01-07,17.538,194.25,17.538,194.25
2001-01-08,18.83,197.25,16.312,197.85
2001-01-09,19.048,200.45,19.048,200.45
2001-01-10,17.827,197.05,16.866,198.45
2001-01-11,17.67,195.05000152587888,16.9,195.84999694824216
2001-01-12,16.94,194.05,16.94,194.05
2001-01-13,19.265,196.65,14.14,206.85
2001-01-14,17.546,195.85,17.546,195.85
2001-01-15,16.745,197.85,17.691,200.05
2001-01-16,17.314,195.45,13.618,207.05
2001-01-17,17.853,193.65,17.241,194.25
2001-01-18,17.927,193.05,17.927,193.05
2001-01-19,18.59,192.85,14.022,204.25
2001-01-20,17.422,195.05,15.258,195.85
2001-01-21,15.927,195.05,14.968,196.65
2001-01-22,18.715,197.64999999999998,14.83,198.64999999999998
2001-01-23,16.135,193.05,16.135,193.05
2001-01-24,16.668,194.4500030517578,16.668,194.4500030517578
2001-01-25,17.151,193.25,15.659,196.05
2001-01-26,16.993,192.65,15.458,195.25
2001-01-27,16.597,192.45,16.597,192.45
2001-01-28,17.277,192.45,15.805,193.85
2001-01-29,16.597,191.65,16.597,191.65
2001-01-30,17.219,190.05,15.58,194.85
2001-01-31,16.714,191.05,16.534,191.85
2001-02-01,16.989,189.25,16.989,189.25
2001-02-02,15.204,197.45,,
2001-02-03,17.371,189.05,16.649,190.25
2001-02-04,16.907,189.45,16.907,189.45
2001-02-05,16.939,190.65,16.525,190.85
2001-02-06,17.252,189.85,17.252,189.85
2001-02-07,17.163,192.25,16.657,193.05
2001-02-08,17.319,193.05,16.011,196.45
2001-02-09,17.378,191.25,17.378,191.25
2001-02-10,17.617,191.25,16.707,192.65
2001-02-11,17.007,192.65,16.488,192.85
2001-02-12,17.545,190.45,19.068,193.85
2001-02-13,17.328,192.05,16.524,193.25
2001-02-14,17.014,191.85,16.57,192.05
2001-02-15,17.919,192.85,16.852,193.65
2001-02-16,16.901,193.85,16.901,193.85
2001-02-17,17.645,195.05,16.156,196.85
2001-02-18,17.364,194.25,16.363,196.25
2001-02-19,17.838,194.25,16.513,196.05
2001-02-20,16.513,195.25,14.955,197.85
2001-02-21,17.824,195.05,14.601,200.05
2001-02-22,17.211,197.25,,
2001-02-23,18.352,196.45,14.637,203.15
2001-02-24,17.17,195.45,17.17,195.45
2001-02-25,17.967,195.45,15.954,198.85
2001-02-26,18.22,195.65,16.739,197.45
2001-02-27,,,,
2001-02-28,17.416,197.45,13.729,205.65
2001-03-01,17.447,198.85,13.719,203.65
2001-03-02,15.655,200.85,15.655,200.85
2001-03-04,15.531,198.05,15.531,198.05
2001-03-05,18.494,198.45,18.494,198.45
2001-03-06,16.785,198.25,16.785,198.25
2001-03-07,15.301,193.45,15.301,193.45
2001-03-08,15.929,194.85,,
2001-03-09,14.2,183.25,14.2,183.25
2001-03-10,14.19,186.45,,
2001-03-11,17.389,195.65,20.65,203.85
2001-03-12,17.945,195.45,17.508,195.85
2001-03-13,17.566,195.45,14.766,200.05
2001-03-14,17.561,193.05,17.561,193.05
2001-03-15,18.083,191.25,,
2001-03-16,17.231,194.25,15.934,196.65
2001-03-17,16.812,194.85,15.739,196.45
2001-03-18,17.402,194.05,,
2001-03-19,18.033,196.45,16.321,198.65
2001-03-20,15.909,196.25,15.909,196.25
2001-03-21,16.996,194.05,16.533,194.85
2001-03-22,17.997,194.45,15.735,197.05
